Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
CREB1,ENSG00000118260,P16220,CREB1_HUMAN.H11MO.0.A,CREB1_HUMAN.GM12878.sem,0.173411015,GM12878,ENCFF906KGM,ENCFF759OLD
CREB1,ENSG00000118260,P16220,CREB1_HUMAN.H11MO.0.A,CREB1_HUMAN.HepG2.sem,0.164105751,HepG2,ENCFF012XKQ,ENCFF897NME
CREB1,ENSG00000118260,P16220,CREB1_HUMAN.H11MO.0.A,CREB1_HUMAN.K562.sem,0.129315287,K562,ENCFF623GVL,ENCFF274YGF
CREM,ENSG00000095794,Q03060,CREM_HUMAN.H11MO.0.C,CREM_HUMAN.GM12878.sem,0.212070187,GM12878,ENCFF061VUA,ENCFF759OLD
CREM,ENSG00000095794,Q03060,CREM_HUMAN.H11MO.0.C,CREM_HUMAN.HepG2.sem,0.200136472,HepG2,ENCFF827WAD,ENCFF897NME
CREM,ENSG00000095794,Q03060,CREM_HUMAN.H11MO.0.C,CREM_HUMAN.K562.sem,0.156102453,K562,ENCFF391MFB,ENCFF274YGF
CTCF,ENSG00000102974,P49711,CTCF_HUMAN.H11MO.0.A,CTCF_HUMAN.HepG2.sem,0.316395448,HepG2,ENCFF704QYE,ENCFF897NME
CUX1,ENSG00000257923,P39880,CUX1_HUMAN.H11MO.0.C,CUX1_HUMAN.GM12878.sem,0.318194803,GM12878,ENCFF833GJC,ENCFF759OLD
CUX1,ENSG00000257923,P39880,CUX1_HUMAN.H11MO.0.C,CUX1_HUMAN.K562.sem,0.227145696,K562,ENCFF425DBM,ENCFF274YGF
CUX1,ENSG00000257923,P39880,CUX1_HUMAN.H11MO.0.C,CUX1_HUMAN.MCF-7.sem,0.186844425,MCF-7,ENCFF663YXL,ENCFF835KCG
DBP,ENSG00000105516,Q10586,DBP_HUMAN.H11MO.0.B,DBP_HUMAN.HepG2.sem,0.743504601,HepG2,ENCFF938DXB,ENCFF897NME
E2F1,ENSG00000101412,Q01094,E2F1_HUMAN.H11MO.0.A,E2F1_HUMAN.HepG2.sem,0.261691849,HepG2,ENCFF354YZN,ENCFF897NME
E2F1,ENSG00000101412,Q01094,E2F1_HUMAN.H11MO.0.A,E2F1_HUMAN.K562.sem,0.349921735,K562,ENCFF526IXT,ENCFF274YGF
E2F1,ENSG00000101412,Q01094,E2F1_HUMAN.H11MO.0.A,E2F1_HUMAN.MCF-7.sem,0.367293585,MCF-7,ENCFF076DGM,ENCFF835KCG
E2F2,ENSG00000007968,Q14209,E2F2_HUMAN.H11MO.0.B,E2F2_HUMAN.HepG2.sem,0.616446732,HepG2,ENCFF675FOH,ENCFF897NME
E2F3,ENSG00000112242,O00716,E2F3_HUMAN.H11MO.0.A,E2F3_HUMAN.K562.sem,0.384381841,K562,ENCFF483LYL,ENCFF274YGF
E2F4,ENSG00000205250,Q16254,E2F4_HUMAN.H11MO.0.A,E2F4_HUMAN.GM12878.sem,0.217548869,GM12878,ENCFF337MYH,ENCFF759OLD
E2F4,ENSG00000205250,Q16254,E2F4_HUMAN.H11MO.0.A,E2F4_HUMAN.HepG2.sem,0.246470284,HepG2,ENCFF320SYO,ENCFF897NME
E2F4,ENSG00000205250,Q16254,E2F4_HUMAN.H11MO.0.A,E2F4_HUMAN.K562.sem,0.307784115,K562,ENCFF721FGN,ENCFF274YGF
E2F5,ENSG00000133740,Q15329,E2F5_HUMAN.H11MO.0.B,E2F5_HUMAN.HepG2.sem,0.401553694,HepG2,ENCFF735TUO,ENCFF897NME
E2F5,ENSG00000133740,Q15329,E2F5_HUMAN.H11MO.0.B,E2F5_HUMAN.K562.sem,0.686268003,K562,ENCFF225ZXF,ENCFF274YGF
E2F5,ENSG00000133740,Q15329,E2F5_HUMAN.H11MO.0.B,E2F5_HUMAN.WTC11.sem,0.488033033,WTC11,ENCFF010CIY,ENCFF854DSG
E2F6,ENSG00000169016,O75461,E2F6_HUMAN.H11MO.0.A,E2F6_HUMAN.A549.sem,0.41874842,A549,ENCFF032ZGS,ENCFF128ZVL
E2F6,ENSG00000169016,O75461,E2F6_HUMAN.H11MO.0.A,E2F6_HUMAN.H1.sem,0.455821963,H1,ENCFF067NZD,ENCFF983UCL
E2F6,ENSG00000169016,O75461,E2F6_HUMAN.H11MO.0.A,E2F6_HUMAN.K562.sem,0.591934215,K562,ENCFF646TMK,ENCFF274YGF
E2F7,ENSG00000165891,Q96AV8,E2F7_HUMAN.H11MO.0.B,E2F7_HUMAN.K562.sem,0.085320065,K562,ENCFF930IRA,ENCFF274YGF
ELF1,ENSG00000120690,P32519,ELF1_HUMAN.H11MO.0.A,ELF1_HUMAN.GM12878.sem,0.300399127,GM12878,ENCFF653KLN,ENCFF759OLD
ELF1,ENSG00000120690,P32519,ELF1_HUMAN.H11MO.0.A,ELF1_HUMAN.HepG2.sem,0.24544362,HepG2,ENCFF129AGI,ENCFF897NME
ELF1,ENSG00000120690,P32519,ELF1_HUMAN.H11MO.0.A,ELF1_HUMAN.K562.sem,0.249077862,K562,ENCFF073IWX,ENCFF274YGF
ELF2,ENSG00000109381,Q15723,ELF2_HUMAN.H11MO.0.C,ELF2_HUMAN.K562.sem,0.185240847,K562,ENCFF263XFB,ENCFF274YGF
ELF3,ENSG00000163435,P78545,ELF3_HUMAN.H11MO.0.A,ELF3_HUMAN.HepG2.sem,0.493784842,HepG2,ENCFF573QDS,ENCFF897NME
ELK1,ENSG00000126767,P19419,ELK1_HUMAN.H11MO.0.B,ELK1_HUMAN.GM12878.sem,0.319514433,GM12878,ENCFF385JTY,ENCFF759OLD
ELK1,ENSG00000126767,P19419,ELK1_HUMAN.H11MO.0.B,ELK1_HUMAN.HepG2.sem,0.527677802,HepG2,ENCFF769UGA,ENCFF897NME
ELK1,ENSG00000126767,P19419,ELK1_HUMAN.H11MO.0.B,ELK1_HUMAN.K562.sem,0.317879763,K562,ENCFF262TFX,ENCFF274YGF
ELK4,ENSG00000158711,P28324,ELK4_HUMAN.H11MO.0.A,ELK4_HUMAN.HEK293.sem,0.208468114,HEK293,ENCFF110STE,ENCFF285OXK
ELK4,ENSG00000158711,P28324,ELK4_HUMAN.H11MO.0.A,ELK4_HUMAN.HeLa-S3.sem,0.207054323,HeLa-S3,ENCFF632TTT,ENCFF049BHH
ELK4,ENSG00000158711,P28324,ELK4_HUMAN.H11MO.0.A,ELK4_HUMAN.HepG2.sem,0.652229688,HepG2,ENCFF921VIL,ENCFF897NME
ESRRA,ENSG00000173153,P11474,ERR1_HUMAN.H11MO.0.A,ERR1_HUMAN.GM12878.sem,0.630902095,GM12878,ENCFF664CTK,ENCFF759OLD
ESRRA,ENSG00000173153,P11474,ERR1_HUMAN.H11MO.0.A,ERR1_HUMAN.HepG2.sem,0.617612921,HepG2,ENCFF388SYH,ENCFF897NME
