Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.HepG2.sem,0.370343157,HepG2,ENCFF732BEG,ENCFF897NME
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.K562.sem,0.688989402,K562,ENCFF220RDW,ENCFF274YGF
JUN,ENSG00000177606,P05412,JUN_HUMAN.H11MO.0.A,JUN_HUMAN.MCF-7.sem,0.365702238,MCF-7,ENCFF730TVS,ENCFF835KCG
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.GM12878.sem,0.048174597,GM12878,ENCFF960CUQ,ENCFF759OLD
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.HepG2.sem,0.033112154,HepG2,ENCFF250ZSB,ENCFF897NME
ZBTB33,ENSG00000177485,Q86T24,KAISO_HUMAN.H11MO.0.A,KAISO_HUMAN.K562.sem,0.604332364,K562,ENCFF173FZK,ENCFF274YGF
KLF12,ENSG00000118922,Q9Y4X4,KLF12_HUMAN.H11MO.0.C,KLF12_HUMAN.HepG2.sem,0.852652217,HepG2,ENCFF208IQI,ENCFF897NME
KLF1,ENSG00000105610,Q13351,KLF1_HUMAN.H11MO.0.A,KLF1_HUMAN.HEK293.sem,0.535548958,HEK293,ENCFF364FQL,ENCFF285OXK
KLF1,ENSG00000105610,Q13351,KLF1_HUMAN.H11MO.0.A,KLF1_HUMAN.K562.sem,0.62977961,K562,ENCFF373JER,ENCFF274YGF
KLF5,ENSG00000102554,Q13887,KLF5_HUMAN.H11MO.0.A,KLF5_HUMAN.GM12878.sem,0.303363766,GM12878,ENCFF168RBB,ENCFF759OLD
KLF8,ENSG00000102349,O95600,KLF8_HUMAN.H11MO.0.C,KLF8_HUMAN.HEK293.sem,0.666633362,HEK293,ENCFF899RPV,ENCFF285OXK
